always_blocks,and_count,bind_count,case_count,dff_count,estimated_depth,if_count,instance_count,module_name,module_type,mux_count,not_count,num_cells,num_wires,or_count,plus_count,signal_count,term_count,xor_count
3,0,1,5,1,11,10,1,counter,Counter,2,0,4,7,0,1,4,4,0
3,3,3,5,3,12,10,1,count_signal,Counter,5,1,14,17,0,1,6,6,0
3,0,6,5,2,11,10,1,address_operation,Combinational,2,0,8,11,0,4,5,9,0
3,6,1,5,,11,10,1,signal_converter,Combinational,,3,12,15,3,0,4,4,0
3,0,38,5,1,17,10,1,getID_4digits,Combinational,27,0,61,61,0,0,6,40,0
3,0,5,5,,22,10,1,min_shift_register,Sequential,,0,,,1,0,11,11,0
3,2,7,5,1,15,10,1,traffic_light_controller,Memory,8,4,28,30,0,3,6,9,0
3,0,2,5,2,10,10,1,clock_gate,Sequential,2,1,5,8,0,0,5,5,0
3,0,18,5,,9,10,1,bit_counter,Combinational,,0,20,21,0,0,2,19,0
3,0,2,5,2,12,10,1,shift_register,Sequential,4,0,6,10,0,0,6,6,0
3,0,2,5,,15,10,1,shift_register,Combinational,1,0,3,9,0,0,7,7,0
3,1,823,5,1,12,10,203,top_module,Counter,1,0,1,3,1,13,618,829,1
3,6,20,5,,19,10,1,level2arch,Memory,,2,,,0,10,12,23,0
3,0,3,5,,10,10,1,HysteresisComparator,Arithmetic,,0,,,0,1,2,4,0
3,0,28,5,,10,10,3,top_module,Combinational,4,1,10,13,0,0,13,31,0
3,3,9,5,,10,10,1,nor_4to1_mux,Combinational,1,4,3,11,5,0,10,14,0
3,0,22,5,1,10,10,4,top_module,Sequential,1,0,3,11,1,0,24,29,0
3,0,6,5,,8,10,1,Energy_Harvesting_Block,Combinational,,0,0,4,0,0,4,7,0
3,0,5,5,,9,10,1,mux4to1,Combinational,,0,5,10,0,0,6,10,0
3,1,25,5,16,19,10,1,VGA_NIOS_CTRL,Arithmetic,64,1,103,119,0,4,33,33,0
3,0,8,5,6,7,10,1,ddr3_s4_uniphy_p0_hr_to_fr,Sequential,2,0,8,13,0,0,13,13,0
3,0,11,5,,9,10,1,mux16,Combinational,,0,9,18,0,0,10,20,0
3,2,2,5,,8,10,1,full_adder,Combinational,,0,5,8,1,0,5,5,2
3,0,1,5,,12,10,1,counter4,Counter,1,0,4,6,0,1,3,3,0
3,0,1,5,,7,10,1,two_input_logic,Combinational,1,1,3,6,0,0,4,4,1
3,0,2,5,2,14,10,1,counter,Counter,7,1,12,16,0,1,6,6,0
3,1,3,5,2,13,10,1,clock_gate,Sequential,5,2,12,15,0,0,6,6,0
3,0,6,5,,12,10,1,addsub,Arithmetic,3,0,6,9,0,1,5,9,0
3,0,13,5,,8,10,1,mux_4to1_sel2_8_1,Combinational,3,0,3,10,0,0,10,18,0
3,8,9,5,,6,10,1,power_good,Combinational,,0,8,18,0,0,18,18,0
3,1,22,5,2,14,10,3,top_module,Counter,5,1,19,26,1,1,27,27,2
3,1,0,5,,10,10,1,my_module,Combinational,,4,,,0,0,3,3,0
3,0,34,5,,9,10,1,AGC,Combinational,,0,26,29,0,0,5,36,0
3,0,1,5,1,10,10,1,data_extract,Sequential,1,0,2,5,0,0,4,4,0
3,0,3,5,1,14,10,1,mux_johnson_counter,Counter,,0,13,17,0,0,7,7,2
3,0,24,5,7,15,10,1,vga_sync,Arithmetic,28,2,53,57,1,14,13,27,0
3,0,9,5,,10,10,1,parity_generator_checker,Arithmetic,1,0,5,6,0,1,5,11,3
3,0,3,5,1,10,10,1,delay_line,Memory,,0,1,4,0,0,4,5,0
3,0,1,5,,7,10,1,min_finder,Combinational,3,0,6,8,0,0,5,5,0
3,0,11,5,,17,10,1,multiplier,Arithmetic,5,3,16,20,0,3,5,14,0
3,198,108,5,,13,10,1,carry_select_adder,Arithmetic,,1,1,10,198,9,9,111,200
3,2,4,5,1,8,10,1,sync_signal,Sequential,,2,5,8,0,0,6,6,0
3,0,24,5,,10,10,1,bcd_code,Combinational,,0,16,17,0,0,3,25,0
3,0,5,5,,12,10,1,priority_encoder,Control,,0,0,2,0,0,2,6,0
3,0,1,5,1,11,10,1,counter_module,Counter,2,0,4,7,0,1,4,4,0
3,0,3,5,2,9,10,1,d_to_jk_ff,Sequential,,2,5,7,0,0,5,5,1
3,0,10,5,,11,10,2,top_module,Combinational,1,0,3,7,0,0,9,13,0
3,2,3,5,2,7,10,1,dual_edge_ff,Sequential,,0,1,7,1,0,5,5,2
